date,solve_secs,day,author,clues
2017-04-18,976.0,Tuesday,BRUCE HAIGHT,"['Matches, as a bet', 'Suffix with bachelor', 'Miss', 'Pinball game ender', 'Keisters', 'Mozart\'s ""Se vuol ballare,"" for one', 'Neck of the woods', 'Very, in music', '""Darn it all!""', 'Practical sort ... or anagram #1 of the only seven letters used to make this puzzle', 'Ballpark gates', 'Times when the French go en vacances', 'Chasing Moby Dick, say', 'Brightest 1-Down in Aquila', 'Big celeb ... or anagram #2', 'Bollywood wraps', 'Formal ceremonies', 'One of a pair of map coordinates: Abbr.', 'Awaken', 'Tennis great Monica', 'Meter maid of song', 'Asian new year', 'Animals rounded up in a roundup', 'Foodie, e.g.', 'Sells (for) ... or anagram #3', 'Standing still', 'The black square chunk in front of 55-, 60- and 63-Across, and others', 'Actor Morales', ""Zionist's homeland"", 'More coarse ... or anagram #4', 'Social reformer Jacob', 'Californie and others', '""Dies ___""', 'Vogue rival', 'U. S. Grant rival', '""He\'d fly through the air with the greatest of ___"" (old song lyric)', 'Suffix with prank or poll', '""___ we forget ...""', 'Concordes, for short', 'Sky light', 'Blarney Stone land', ""Zeno's home"", 'Result of poor ventilation', 'Pink Pearl, for one', 'Things graded by 7-Down', 'See 6-Down', '1970s political cause, for short', 'It may be thrown from a horse', '___ Sea (former fourth-largest lake in the world)', 'Babylon, for the ancient Hanging Gardens', 'Lip', 'Fraidy-cats', '""That so?""', 'Thomas Hardy heroine', 'Take up or let out', 'Admin. aide', '""See ya""', 'Like the invitation line ""Be there or be square""', 'Roger formerly of Fox News', 'Crème de la crème', 'Deserves V.I.P. treatment', 'Predigital film units', 'Piquant', 'Ben of ""Tower Heist""', 'They come along once in a blue moon', 'Store window sign', 'List-ending abbr.', 'Come-on', 'How tableware is often sold', '___ Park, Colo.', 'Seriously vexes', 'Delta deposit', 'Vex', 'Nest eggs for the golden yrs.', 'Big ___ Conference', 'Roger who played a part on ""Cheers""', 'Certain util. bill', 'Stein filler']"
2017-04-19,1346.0,Wednesday,BRAD WILBER and EMANUEL AX,"['BBQ platter side', 'Two-faced god', 'Shade of blue', 'Low-___', '""___ the Law"" (Steven Seagal picture)', 'Worries for Great Depression banks', '""Fly ___ spurn thee ..."" : Shelley', 'Olympic gymnast Strug', '___ Dillon, lead role on ""Gunsmoke""', 'Classic song with the lyric ""Whatever happened to my Transylvania twist?""', 'Gold in a pond?', 'Early capital of Alaska', 'Troubling reverie', 'Landscaping tool', 'Flips through, as TV channels', 'What the keys are to a pianist?', 'Trattoria order?', 'Hamilton biographer Chernow and others', 'Suffix with acetyl', 'Negates', 'Just make', 'Holder of encumbered property', 'Andean animal with expensive wool', ""Mo. of Thomas Jefferson's birthday"", '""La Cage aux Folles"" enterprise', 'One side of a longstanding feud', 'Prefix with classical', ""Like some magicians' assistants, apparently"", 'Feedbag bits', 'Eight-year Clinton cabinet member', 'Eyelashes', '1917 dethronee', 'Mystery writer Nevada ___', 'Shoelace tip', 'Slippery swimmers', 'Soulful Redding', '___ Island Red (fowl type)', 'Comes (from)', 'One who was wished a long life, in old French cheers', 'F. Scott Fitzgerald\'s ""Two for ___""', 'Drink often garnished with a cherry', 'Hunky-dory', 'Scottish city that lent its name to a cattle breed', 'Best Picture loser to ""Kramer vs. Kramer""', 'Tanning element, informally', ""It's measured by the Richter scale"", 'What a radius is part of', 'Log painted deceptively to look like a cannon', '""Do ___ others ...""', 'Italian wine town', 'Cry before curtsying or taking a bow', 'Tipples circumspectly', 'Exercise-induced euphoria', 'Famously reclusive Hollywood legend', '""___ and Forget"" (classic humor piece by James Thurber)', ""Autograph collector's enclosure, for short"", 'Earlier: Abbr.', 'Shape-shifter of Norse mythology', 'Not statistically based, as evidence', 'Nyasaland, today', 'Some, in Seville', 'Worry about, informally', 'Artist ___ de Toulouse-Lautrec', ""They could be represented by a cartoonist's wavy lines"", 'Salutation among Winnie-the-Pooh and friends', 'Words before ""so sue me""', '___ worse than death', 'Word that can follow the ends of 20- and 54-Across and 4- and 26-Down', 'What pros handle things with', 'Nascar Hall of Fame locale: Abbr.', 'Some SAT takers: Abbr.']"
2017-04-20,1860.0,Thursday,JEFFREY WECHSLER,"['Departed', 'Unwavering', 'Feuding', 'Economy, for one', 'Active volcano feature', 'Chew toy alternative', 'Responsibility', 'Pie chart features', 'Go here and there', 'Why Japanese tipplers anticipate the afterlife?', 'Columbia, e.g.', 'Halfway through a stage routine', 'Power and economic development corp. started in 1933', 'Scratch', 'Page 1, 3 or 5, usually', 'Pound on some Mexican food?', 'Back talk', 'The Rolling Stones\' ""___ a Rainbow""', 'Suffuse', 'Excepting', 'Brooch', '""I didn\'t know you disliked shiny fabrics!,"" e.g.?', '""And thereby hangs ___"": ""As You Like It""', '""___ longa, vita brevis""', 'Designation for U.K. vessels', 'Not forget', 'Track transaction', 'Quick trip to pick up white zinfandel and blush?', 'Strengthen', '""Travel is ___ to prejudice, bigotry and narrow-mindedness"": Twain', ""It's a drag"", 'Sports org. headquartered in Indianapolis', 'Sight in Micronesia', 'Antihero of ""A Clockwork Orange""', 'Influence for Enya, historically', 'Function for a buffalo hide', 'Lacking a purpose in life', 'Starting', 'Overindulging sort', ""France's Côte d'___"", 'Places to study the Talmud', 'Many an insect repellent', 'Name of five Norwegian kings', 'Certain trank', 'Poker declaration', 'Something many Founding Fathers believed in', 'Wear down', 'Went to night school, maybe', 'Words meant to hurt', 'One of a group of 18', 'Emergency procedure, briefly', 'Courtly term of address', 'Emulate a 2-Down', '1952 Bernard Malamud novel made into a hit 1984 movie', 'Start of many an Italian pizzeria name', 'Organic jewelry material', 'Libertines', 'One side of China?', 'Soul maker', 'Law of ancient times', ""It's often rigged"", 'Entirety', ""Eric's seafaring son"", 'The Goddess of Pop', 'Reach by air', 'Property of skim milk', 'Beauty in ""Beauty and the Beast""', 'Compare, in a way', 'Corvette feature', 'Fit', 'Alone', 'Stretches (out)', 'Blue note?', 'Vitamin and supplement retailer']"
2017-04-21,1471.0,Friday,DAMON GULCZYNSKI,"['Areas where clerics are seated', ""Play's counterpart"", 'Beldam', 'Thin layer of foam at the top of an espresso', 'Selling point', 'The Jazz, on sports tickers', 'Add, British-style', 'Business circles?', '""Our remedies ___ in ourselves do lie"": Shak.', 'Character assassination, for one', 'Collapse', 'Bit of work', ""Brand that's a shortened description of its flavor"", '""Heavens to Murgatroyd!""', 'James, Jimmy or John', '""Heavens to Murgatroyd!""', 'Omegas represent them', 'Savage of ""Savage Love""', 'Cousin of a fjord', '___ party', 'Post cereal with an apostrophe in its name', 'Familia members', 'Genre for Miriam Makeba and Ladysmith Black Mambazo', 'Quiet (down)', 'Toon who wears a red hair bow', 'Zhou ___', 'Mac : Scottish :: ___ : Arabic', 'They open in the morning', 'Type for who this clue will be annoying?', ""It's stretched out in yoga class"", ""Iconic part of Nancy Sinatra's early attire"", 'Kennedy colleague', 'Café freebie', 'Year abroad', 'Unlikely donor', 'Pres. whose given birth name was David', 'Does business', 'Alternative nickname for Liz', 'Hurricane or flood', 'Perfunctory', 'Get cozy', 'Producer of a deep drumming call', 'Boobs', ""Law school, so it's said"", 'Pungent cheese', 'One who might need an ID', 'Broken-off branch', '""___ Brand"" (Nathaniel Hawthorne tale)', 'Rush', 'Verdi opera based on a historic invader', ""Stranded motorist's boon"", 'Eating things', 'Promised one', 'Nobelist Hammarskjöld', 'Rings', 'A batter receives four for a grand slam', 'Shark-jumping sitcom character', 'Beauty ___', 'Bull, essentially', 'Highly anticipated social events', 'Work with intelligence?', ""Latin lover's words"", 'One may be essential', 'Classified', 'Foray', 'Hound', 'Doorframe part', 'Repeated boast in a 1987 #1 hit', 'Super', 'Author Jaffe', 'Foot type', 'Get down, in a way']"
2017-04-22,1395.0,Saturday,ADAM FROMM,"['Skye, the Small Isles, etc.', 'Fiddles (with)', 'Eaglelike', 'Armpit, to a doctor', 'Brown-bag lunch item', 'With wacky irreverence', '2002 ""documentary"" with ""Don\'t try this at home"" contents', 'Varieties', 'Sounds of pity', 'Fan sound', 'Like an ascot, perhaps', 'Put a dent in, say', 'Jeep model', 'Le Monde material', '""No, you don\'t want to do that""', 'First hit for the Police', 'Performed beautifully', 'Managing', 'Psychological mediator', '""Drop dead, loser""', 'Strike sharply', ""Change one's tone?"", '""Don\'t ___ thing""', 'Hit 1959 Broadway play starring Sidney Poitier', 'Jam producer', 'Bowed with adversity', 'Book after Proverbs: Abbr.', ""Only woman aboard the Argo, it's said"", 'Third-rate', '""Jezebel"" costume', 'Faithful pilgrim', 'Congruent', 'Riviera, e.g.', 'Singer with a recurring role on ""General Hospital""', 'Guts, in part', '""Mine!""', 'Slaughter of the Cardinals', 'Record of affairs?', 'Achievements in large-scale topiary', 'Bar ___', 'Historic conflict in and around the Yellow Sea', 'Reducing to splinters', '___ Kemper, star of TV\'s ""Unbreakable Kimmy Schmidt""', 'Leo with the 1977 #1 hit ""When I Need You""', 'Any I, e.g.: Abbr.', 'What may involve the calf muscles?', 'Managed, with ""out""', 'Shade of green', 'Saw', 'Its logo is based on a Pennsylvania Dutch hex sign', 'Derisive reply', '""The Sopranos"" actress', 'Slow sort, informally', 'Patootie', '___ Motors, old Lansing manufacturer', 'Tattle', 'Subcompact', 'International treaty subject', 'Coastline features', 'Robert of ""Spenser: For Hire""', 'A little tight', 'Simultaneously', 'Round abodes', 'Dancer Pavlova and others', 'Went after, in a way', ""___ the Great of children's literature"", 'Like many folk songs: Abbr.', 'Stood fast']"
2017-04-23,2294.0,Sunday,OLIVIA MITRA FRAMKE ,"['Italian relatives', 'Part of the earth', '___ Coast, scenic area near Capri', 'Brutish sort', '""Dallas"" actress ___ J. Wilson', ""Mermaids' home in Neverland"", '1938 #1 hit for 68-/70-Across, which was inspired by a nursery rhyme', 'Listless feelings', 'Many August births', 'Popular pairing with steak au poivre', 'Charm', 'And the following: Abbr.', 'Longbow wood', 'Detached', 'One for the plus column', 'Congestion site', 'Wyatt of the Old West', 'Extremely loud, in music', 'Soft drink brand', 'Love interest for Anastasia in ""Anastasia""', '___ Reports', 'Suffix with sheep or hawk', ""Vintner's cask"", 'Old car named for an explorer', 'Elder Lannister son on ""Game of Thrones""', 'Stone Age relics', 'Piñata smasher, maybe', '""___ parvis magna"" (""Greatness from small beginnings"": Lat.)', 'H.S. big shots', 'Talk endlessly to', 'Act like', 'Illustrator software maker', 'Kama ___', 'For grades 1-12, briefly', 'With 70-Across, nickname for a celebrated performer born on April 25, 1917', 'See 68-Across', 'Dreary', 'Dog whose tail curls over the back', 'Great Lakes natives', 'Sister of Helios and Selene', 'Polish coin', 'Promising action on a fishing line', 'Picks out of a lineup, informally', 'Letter-shaped fastener', 'Button on the bottom of a multipage form', 'Ring', 'Frank', 'Rapa ___ (locale of many monoliths)', 'Sports team V.I.P.s', 'Set piece?', 'Natural history museum sights', 'Turkish title', 'Road offense, for short', 'The hots', 'Bluish shades', 'Green who was a four-time vocal coach on ""The Voice""', 'Question asked while extending the hand, maybe', 'Reassuring touch', 'Fixture on a fishing dock', 'One state symbol of Massachusetts', 'Introduces slowly', 'Record label that looks like the name of a radio station', 'Lao-tzu follower', 'Notable quote by 68-/70-Across', 'Set oneself right, in a way', 'Five Pillars of Islam, e.g.', '""Bonehead"" and ""numbskull,"" e.g.', 'Solitudinarians', 'State representatives?', 'Ride and Field', 'Sacred choral works', 'Melodic passages', 'Accidentally hit ""reply all"" on, say', 'Jan. inits.', '""Smart"" one', 'Skewered Asian dish', 'Arctic food fish', 'Close again, as a purse', '""Family Matters"" ubernerd', 'Manage', 'Winter celebration abroad', 'Sheltered at sea', 'Japanese comic style', 'Mass recitation', 'Repeated collaborator with 68-/70-Across', 'Thwarted', 'Maps of Alaska and Hawaii, often', 'Big blow', 'Flight attendant', 'Red as ___', 'Close buds', '""Enough already!""', 'Be ___ use', 'Unlikely book club recommendation', 'Edith Piaf\'s ""Non, Je Ne Regrette ___""', 'Name on a blimp', 'Gets some air', '___ Nast (magazine publisher)', 'Good name for an Irish carpenter?', 'Bubs', 'For laughs', ""Arctic young 'un"", 'Signature tune of 68-/70-Across', 'One-named singer with the 2016 #1 hit ""Cheap Thrills""', 'Slip in a book', 'Café additive', 'Trade jabs (with)', 'Flavors', 'Approve', 'Hollywood job title', 'Freedom Caucus, e.g.', 'Wrinkly fruit', 'Gossipmonger', 'Portion of a penny', 'Where Nice is en France', 'Tough draws in the game Bananagrams', 'No fun, as a party', 'Vegan staple', 'Van Gogh\'s ""Le Café de ___""', 'Beverage sponsor of the old ""Little Orphan Annie"" radio show', 'One in line?', 'Biblical quartet', 'Silence', 'East German secret police', ""Quantity of toys on Santa's sleigh"", ""Perfumer's liquid"", 'Summer piazza treat', 'Near ringer', 'Nowadays', 'Occurrences in the 30s, say', 'Skating champ Brian', 'Sore', 'Setting for a fine meal', 'Polynesian carvings', 'Bracket shapes', 'Takeoff figs.', 'Three-stripers: Abbr.', 'Singer with the 1984 hit ""99 Luftballons""', 'Part of T.G.I.F.', 'Cuba or Catalina: Abbr.']"
2017-04-24,531.0,Monday,GARY CEE,"[""Web designer's code"", 'One wearing an apron and a puffy white hat', 'One includes ""My cup runneth over"" in the Bible', 'Has debts', 'Slight amount', ""Like a wolf's howl in the dead of night"", 'Gobbledygook', 'Looked open-mouthed', ""Scot's cap"", '""___ is me!""', 'Up in arms', ""Nebraska's capital before Lincoln"", 'Grandson of Adam', 'Clock-setting std.', 'Big fat zero', 'Like Jefferson on a list of presidents', 'River through Paris', 'Do laps in a pool', ""Flower that's also a girl's name"", 'Spoonful of medicine, say', 'Put forward, as an idea', 'Unlocks', 'Habitual tube watchers', 'Swiss peak', 'Part in a movie', 'Hair that hangs over the forehead', 'Used a lever on', '""Golly!""', 'Promise-to-pay note', 'Capital of South Korea', 'What a shamed person has to ""eat""', 'Stand on three legs?', 'Mideast native', 'On the ___ (recuperating)', 'Lock of hair', 'Metal canisters', 'Hankering', 'Book consulted by a do-it-yourselfer', ""Time in Manhattan when it's midnight in Montana"", 'Ethel who sang ""There\'s No Business Like Show Business""', ""It was often dropped in the '60s"", '""See ya!""', ""Woodchuck's escape route"", 'Airline app datum, for short', 'On the decline', 'Flying horse of Greek myth', '""Save me a ___!""', 'Notes of a chord played in rapid succession', 'Fib', 'Club ___', 'Path of mowed grass', 'Steal from', 'It might capture an embarrassing comment', 'Bit of appended text', 'Store department selling suits and ties', 'Obstacle for a drone', 'Modern and cool', 'Plan that might include mutual funds, in brief', 'Body of water that separates Africa and Asia', 'Pet safety org.', ""Sheep's coat"", '""It\'s certainly possible ...""', 'Hot spring', '""The best is ___ to come""', 'What amusement parks provide', '2016 prize for Bob Dylan', 'Who wrote of ""sorrow for the lost Lenore""', 'Out-of-date', 'Marksman with an M40', 'Word cried twice before ""gone""', 'Napped leather', 'Feels remorse over', 'F.B.I. worker, informally', 'Recedes', 'Ready', 'Place for a bud or a stud', 'Celebrity psychic Geller', 'Down Under bird']"
2017-04-25,1073.0,Tuesday,GARY J. WHITEHEAD,"['Country invaded in 2003', 'H.S. math class', 'Legendary music club in Lower Manhattan, informally', 'Suffix with refresh or replace', 'Parks of Alabama', 'Spartan serf', ""*V.I.P.'s security agent"", 'Resort island near Majorca', 'The Rams of the Atlantic 10 Conf.', 'Scholarship money', '*Nintendo hand-held', 'Disgorges', 'Actress Campbell of ""Scream""', '*Place to plug in a USB cable', '""Ditto""', 'Utters, informally', 'Does the honors for Thanksgiving dinner', 'Short-sheeting, e.g.', 'Snoring sound', 'Tuscan city', 'Sees eye to eye (with)', '52, in old Rome', 'Long, single take, in filmmaking', '*Multiplex, e.g.', 'Stew morsels', 'Exchange vows at the altar', ""*NATO's smallest member, populationwise"", 'Stock listings: Abbr.', 'Ariz. neighbor', 'Sacha Baron Cohen character', ""*Where a newspaper's biggest stories go"", 'Actress Gaynor of ""South Pacific""', '""E pluribus ___""', '""So ___ walks into ...""', 'Fall of winter', 'What a ponytail partially covers', ""There's no place like it ... or a word that can precede either half of the answer to each starred clue"", 'Fill (with)', 'Corporate shuffle, for short', 'Love interest of Pacey on ""Dawson\'s Creek""', 'Amt.', '""What\'s right is right"" and others', 'Rocky ___', ""Haifa's country: Abbr."", 'Doohickey', 'Monstrous creatures', 'French newborn', 'Smooth-talking', 'Schmo', '""___ With Me"" (Sam Smith hit)', 'Purrer in Peru', 'Opposite of sans', 'Act starter', 'Shows some affection', 'Dispenser candy', 'Religious abode', ""Baker's need"", 'Artist Magritte', 'Romanov ruler', 'Often-filtered messages', ""Jason's ship"", '___ Levy, Buffalo Bills coach in the Hall of Fame', '""Don\'t quit!""', '1980s Pakistani president', 'W.W. II-era British gun', ""Treater's phrase"", 'Enjoyed oneself', 'Wind tile in mah-jongg', 'Insect stage', 'Use Goo Gone on, perhaps', 'Daisy variety', 'Some old PCs', ""Snake's shape"", 'Art Deco notable', 'Loaf (around)', 'Government overthrow', 'Single-stranded molecule', ""Part of a tuba's sound""]"
2017-04-26,950.0,Wednesday,TRENTON CHARLSON,"['Perspective', 'Police alert, for short', 'Candy often used in science fair volcanoes', 'Proactiv target', 'Sound that might be heard in a 16-Across', ""It's for the birds"", '""Sanford and Son"" star of 1970s TV', 'High-end shampoo brand', 'General reply?', ""Put one's foot down"", 'Subject of some ""management"" courses', 'Warning letters next to a link', 'Had in mind', 'Rowed', 'Equal', 'Brand in the pet food aisle', 'Shot blocker?', 'Zealot', 'Grenache, for one', 'BP rival', '___ Domini', 'Coastal indentation', '""The Times They Are a-Changin\'"" songwriter', 'Big name in vacuum cleaners', 'Branches', 'Hostility, in British slang', 'Collar attachment', 'Cuneiform discovery site', 'Sister chain of Marshalls', 'Beer brand whose logo hints at the answers to 17-, 19-, 38-, 43- and 61-Across', 'Dormmate, e.g.', 'Artist Jean who pioneered in Dadaism', 'Relative of a tangelo', ""Brewers' fermenting agents"", 'Like some humor or spells', 'On the briny', '""Your mileage may ___""', 'Drink brand with a polar bear symbol', 'Objectives', 'Unites', '___ squash', 'Curse', 'Prime theater location', 'Oodles of', 'Still', 'U.S. president who becomes the president of future Earth on ""Futurama""', 'Burden', 'Sch. in Tulsa', 'Part of GPS: Abbr.', 'Decree', 'Making it big', 'Tourist transports in Venice', 'Fifth-century invaders of England', 'California city whose name is Spanish for ""ash tree""', '""It\'s a date!""', 'City 20 miles NW of 27-Down', 'Quack medicine offering', 'Culmination of a challenging H.S. course', 'Manhattan neighborhood next to the East Village', 'Black-hearted', 'Degree of expertise in martial arts', 'West Point team', 'Discovery of Wilhelm Roentgen, which earned him the first Nobel Prize in Physics in 1901', '""So what?""', 'Second-largest Arabic-speaking city after Cairo', 'Taj Mahal feature', 'Poetry competitions', 'Hoarse', 'Way out', 'Lines of a plane', 'Light blue', 'Bearskins, maybe', 'River along which 56-Across is located', ""It's on one side of the Urals"", 'Take a shot', 'Average guy', 'Extinct relative of the kiwi', 'Hockey legend Bobby']"
2017-04-27,1230.0,Thursday,TODD GROSS,"['With 68-Across, the shaded part of this crossword', 'With 67-Across, what the shaded part of this crossword represents', 'Orange place', 'Seafaring', 'Eli and Aaron, in the Bible', 'Having a perfect record', ""A business might have one that's fixed"", '___ Enterprises (bygone TV production company)', 'Home of The Times-Picayune, familiarly', 'Reed section?', 'Where lakes are loughs', 'You might go for one at the beach', 'Do over and over', 'Core parts', '""Well, isn\'t that something!""', 'Mark below a line', 'Note just above C', 'Terminate', 'Hotel posting', '""Right back ___!""', 'Manual opener', 'Like some allowances', 'Peeping, say', 'Certain bond, for short', '""Hey, buddy!""', '""Inner-city"" for ""black,"" to some people', 'Hawaiian fish with a palindromic name', 'Scruffs', 'Tops off?', 'Gap in a tape, maybe', 'Cross words', 'Like a selfish attitude', 'See 8-Across', 'See 1-Across', 'Legendary N.Y.C. club, with ""the""', 'Drops the ball', 'Long-running TV drama started in 2003', 'Annual September TV event', 'Believer in an Ethiopian Zion', '""The enemy of ___ is the absence of limitations"": Orson Welles', 'Church inits.', 'Turn in', 'Tribe after which the 45th state is named', 'Steak ___', 'Numerical prefix', 'Longtime New Yorker writer Pauline', 'Part of the body whose name is both English and Latin', '___ Lock (neighbor of Page Up)', 'Animals whose tongues flick about 150 times a minute', 'Wrestler Flair', 'Look piercingly at', ""Afghanistan's third-largest city"", 'Cinnabar, e.g.', 'Punch', '""So much fu-u-u-u-un!""', '""Possibly""', 'Open again, as a keg', 'Quartet part', 'American Pharoah and others', 'Canine command', 'First commercial film with stereophonic sound, 1940', 'Lead-in to -tainment', 'OS part: Abbr.', 'Daniel ___, first Japanese-American to serve in Congress', '""I Love Lucy"" neighbor', 'Utter mess', 'Computer ___', 'Home of Pearl City', 'Cameron of ""Charlie\'s Angels""', 'Big Ten inits.', 'Sound of contentment', 'Scots Gaelic', 'You might give them props', 'Picture frame?', 'CPR offerer', 'Necessary: Abbr.']"
2017-04-28,1605.0,Friday,DAVID STEINBERG,"['Cuckoo', 'Showed', 'Stack (or snack) on a table', 'Literally, ""highest city""', 'Mystical characters', '""This place looks horrible!""', 'Highway through the Yukon', 'Site where top hats and canes might be checked at the door', 'Make', 'Drummer Starkey', 'Sound that might be made while rubbing the arms', 'TV boy with spiked hair', 'In front of, to Shakespeare', 'Org. since 1902 with 50+ million members', 'Throw a long football pass', 'Intermission starter?', 'Part of XXX', ""California's Harvey ___ College"", 'Santa player in ""Elf""', 'Food sticker', '""Star Wars"" nickname', 'Chucklehead', 'Rebounded', 'Old RR watchdog', 'Like some columns', 'Lacerate', 'Court ruling', '""Eww, no more!""', 'Memo directive', '2012 #1 hit by LMFAO', 'Internet hookup', 'Like Sprite', 'Hindu aphorisms', 'Producer of red-and-white blooms', 'Get low', 'Practice', 'No longer a draft, say', 'Homey', 'It hurts', ""Ollie's friend on old TV"", 'Walked unsteadily', 'Bug exterminator?', 'Mount Holyoke grad, e.g.', 'Act out', 'Sports-themed restaurant', 'Soup go-with', 'Bottom of the sea?', 'Development period', 'Dim', 'Application fig.', ""Oenophile's pride"", '""The Flies"" playwright', 'Went pit-a-pat, pit-a-pat', ""Doesn't stay in the hole, as a ball"", 'Hooked on', 'Prada competitor', 'Communication service since 2004', ""Pablo Picasso's designer daughter"", 'Jared Kushner, as a notable example', 'Where people go to vote', ""Concierge's handout"", 'Narrow recess', 'Relative of an alligator', 'Portmanteau garment', 'Prefix with -graphic', 'Prefix with -graphic', 'Subterfuge', 'Opposite of ""Too rich for me""', 'Word with road or blood', 'Pile at a publisher: Abbr.']"
2017-04-29,1401.0,Saturday,MARTIN ASHWOOD-SMITH,"['Result of a firing', 'English channel', ""It's poorly written"", ""Hannibal's men"", '1962 Best Picture setting', 'Fault line?', 'Swimming', 'Shade of green', 'Bind with a belt', 'Certain finish', 'Chanel No. 5 competitor', 'Gridlock consequence', 'Many a Dallas cowboy', 'Comments that lead people to repeat themselves', 'Ones carrying babies on their backs', 'Middle Earth?', 'Dawdles', 'Source of feedback', 'Fictional spy who first appeared in ""Call for the Dead""', '""___ joke""', 'Ranges', 'Go the right way?', 'Mystery in the fossil record', 'Writer with the given names Robert Lawrence', 'Tick off', 'Jointly', 'Whine lover?', 'Undeceived by', 'Capital for King Zog', ""Hooter's location"", 'Setting for Sergei Eisenstein\'s ""Battleship Potemkin""', 'Clear brandy', 'Brisk competitor', ""Fist pumper's cry"", 'Besides', 'PIN money?', '""Jeez Louise!""', 'Trick-taking card game', 'About 252 cals.', 'Like M. Poirot', 'Competitive, in a way', 'Title of politeness', ""Swimmer's woe"", 'Pro ___', 'Slaughterhouse', 'Spent a season in the sun?', 'Rubbery compounds', 'Certain eruption', 'Famed Pop Art subject', ""It's pretty obvious"", 'Augmenting, old-style', 'Functional', 'Guinness adjective', 'Modeling medium', 'Long-lasting, in commercial names', 'Good earth', 'Table', 'Some fertilized eggs', 'Unit of explosive capacity', 'Palace of Nations locale', 'Has a home-cooked meal', 'Made a big scene?', 'Import', 'Step on a scale', 'Illustrator Thomas', 'Down', 'Strong, as a bond', 'New Left org.']"
2017-04-30,2798.0,Sunday,ALAN ARBESFELD ,"['Part of a crossword', ""Child's play"", 'Measure, as a runner', 'Attachment letters', 'Number two', 'Star of CBS\'s ""Madam Secretary""', 'Eighth of a cup', 'Munich missus', 'Commercials for a ""Star Trek"" movie?', ""Yoga teacher's invitation?"", 'Head bands?', 'Roster shortener', ""Can't stand"", 'Naval agreement', 'Inclined', 'Flower arrangement', 'Weather forecaster in Phoenix?', 'Auto frame', ""Serpent's tail?"", 'Where Einstein was born', 'Gorsuch replaced him', 'Prefix with -partite', '""Louder!""', 'Most in-shape person at a cosmetics company?', 'Strict Sabbath observer of old', 'Word before green or after deep blue', 'Narrow passage: Abbr.', '___ friends', 'Worn things', 'Back biter, maybe', 'Standing directly in front of one another', 'Big game', 'Ridicule shouted out of a moving car?', 'Tear apart', 'Short-lived things', '1998 Sarah McLachlan hit', 'Casino draw', 'Progressive alternative', '""Eww!""', 'Pan Am rival', 'Gulf War allies', 'Quickly added bit of punctuation?', 'Space saver in a taxi or bus', 'Suffix with beat', '""Gangsta\'s Paradise"" rapper', 'Egyptian ___ (spotted cat breed)', 'Turkish honorific', 'Tries to mediate', 'What allowed one physician to get through flu season?', 'Puts out', 'Articles of faith', 'Two-time U.S. Open champ', 'Unctuous flattery', 'Hangs loose', 'J.Crew competitor', 'Regimen with limited intake of corn?', ""Toddler's cry upon entering the bathroom?"", 'Where I-15 meets I-70', 'Cookin\', after ""on""', 'Where ""ho"" and ""hoina"" mean ""yes"" and ""no""', 'Tired (out)', 'Spanish chess piece', 'Chrissie in the Rock and Roll Hall of Fame', 'Backspace over', 'Cross condition', 'Nasty cut', ""Gifford's successor on TV"", 'Violators of the Second Commandment', 'They can throw you off', 'High points of a European vacation?', 'Condiment for pommes frites', '___-turn', 'Cartwright who played one of the von Trapp children in ""The Sound of Music""', 'Energetic one', 'Come together', 'First daughter of the 1960s', 'Studio warning', 'A quarter of M', ""Kenan's former Nickelodeon pal"", 'Support for a fringe candidate, maybe', 'Title for Helen Mirren', 'Something ""kicked up""', 'Heads for a bar?', 'Remain fresh', 'Mother of Helios', 'Imitative', 'Scopes Trial org.', 'Nitwits', 'Music genre for Steppenwolf and Iron Butterfly', 'Elaine ___, cabinet member for both Bush and Trump', 'Shere who wrote ""Women and Love""', 'Cross to bear', 'Sister of Erato', 'Things that allow for jumping ahead in line?', 'Like some transfers', 'Burned a bit', 'Game with drawings', 'Slight', '___ moment', 'Shire of ""Rocky""', 'Kind of chance', 'In the mood', 'Buffet centerpiece?', 'Sinatra, for one', 'Squash', 'Aggravation', 'Just manages', 'Takes the first step', 'Christmas Day exhortation', 'Removed expeditiously', '1920s anarchist in a prominent trial', 'Big mouth', 'Extinct cousin of the kiwi', 'Go out for a while?', 'Caffeine source', 'Make no bones about', 'Completely convinced about', '""I hate the Moor"" speaker', 'Quick and detached, musically: Abbr.', ""Special Agent Gibbs's beat"", 'Call wrongly', 'Bris official', 'Also-___', 'Swing site', 'Activity in a dohyo', 'Site-seeing?', 'Certain Consumer Reports employee', 'Beatles song, album or movie', 'Pasta picks', 'Discontinued Toyota line', 'Put-down', 'Speck of dust', ""Didn't give way"", 'Yankee Sparky who wrote ""The Bronx Zoo""', 'Abruzzi bell town', ""Da's opposite"", '""Phooey!""', 'Assist with the dishes', 'Spring for a vacation?', '""No ___!""']"
